tx_hash,datetime_utc,direction,matched_counterparty,value_bnb,usd_at_tx_time,usd_at_today_rate,from_addr,to_addr
0xb1cb3e500034d8eb43c96f3129dcc7cbc30030e30ac32b72e27e3fa0acf194fc,2022-12-10 19:48:00,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.1,64.91,65.88,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x94638704c78f5a41f8341053a472eb9e5cfd7d43f4030fa5c8863f9623d5f31b,2022-11-12 6:29:28,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,3.546,2301.85,2336.14,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xe688d98003d633905cc113a2c6434cebf1782a7b91bcb1028f5e266ee7d91ca5,2022-11-10 9:14:36,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.8,519.31,527.05,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x88ebbd473624e3f50f1e534c5b68b5b2525e56cdc47a0c5598575c647a2023d0,2022-11-04 18:26:12,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,1.61,1045.63,1060.68,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x3f7b561e7f000991029d1ff994e7fc45dc2620254aacde68d209da69bb33b986,2022-10-30 6:39:21,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.15,97.42,98.82,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x439db4085f800085c6584505f2b6acf32892c5808a2d16d2d7f2ed4505ff1869,2022-10-22 6:45:58,you_to_set,0x8b206a405c11664189cec6673bf5a9b4e0eaf63e,0.004,2.60,2.64,0x128c33c16ee6d337154d0996220a791d89aa0442,0x8b206a405c11664189cec6673bf5a9b4e0eaf63e
0x00168490f1e1365fc52e2733afd34be97a31aa23a9478eaf940137c70bd6bb0e,2022-10-20 17:27:36,set_to_you,0x8b206a405c11664189cec6673bf5a9b4e0eaf63e,0.06,38.97,39.53,0x8b206a405c11664189cec6673bf5a9b4e0eaf63e,0x128c33c16ee6d337154d0996220a791d89aa0442
0xc96a62971e1b2f22d4bfbf82dc45930d844c3208c159434a469aa1148f0d3860,2022-10-20 13:40:55,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.1,64.95,65.88,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x63b4544ffae8d6b51240387115df0f1f768e3af214a5e505af3eada8620d174d,2022-10-19 19:26:35,set_to_you,0x8b206a405c11664189cec6673bf5a9b4e0eaf63e,0.02,12.99,13.18,0x8b206a405c11664189cec6673bf5a9b4e0eaf63e,0x128c33c16ee6d337154d0996220a791d89aa0442
0xb8a58b0f6da2d67bc8a27945411b61b14bea1f0cf03c64dad9256079ca1e4fdc,2022-10-19 19:24:23,set_to_you,0x8b206a405c11664189cec6673bf5a9b4e0eaf63e,0.19,123.40,125.17,0x8b206a405c11664189cec6673bf5a9b4e0eaf63e,0x128c33c16ee6d337154d0996220a791d89aa0442
0x5e3ec75ef44d5953b7eefebaeaa38680639404e012b14dd0be2c47a2423f7ca0,2022-10-19 18:31:47,you_to_set,0x87c1715176dfd3e3083c68287b339dd0606a56bf,0.13,84.43,85.65,0x128c33c16ee6d337154d0996220a791d89aa0442,0x87c1715176dfd3e3083c68287b339dd0606a56bf
0xadc07e81fe824b33b44475fa709fc2911f2d41be06e82f392248f09b3b88d43d,2022-10-17 21:55:17,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.12,77.90,79.06,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x151bce9d0c0aef7b44cfd88ce0f8721fa3e5aaca0323d0ca7bbe171f4ece71be,2022-10-17 21:53:08,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.017,11.04,11.20,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
