category,rank,asin,bestseller_title,bestseller_url,captured_at,audit_reason,marketplace_listing_id,marketplace_category,marketplace_cpk,marketplace_cpk_identity_category,marketplace_title
cooler,73,B01A9KIGSI,Thermal Grizzly - Conductonaut - 1 Gram - Liquid Metal Compound Thermal Paste - For Maximum Thermal Conductivity while Overcl,https://www.amazon.co.uk/Thermal-Grizzly-conductonaut-compound-10-140%C2%B0/dp/B01A9KIGSI/ref=zg_bs_g_430499031_d_sccl_23/525-2893768-2677554,2026-09-25 12:57:51.160799,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,74,B0FCMNSKG6,AsiaHorse NyotaUltra Daisy Chain 120mm ARGB PC Case Fan Infinity Mirror HDB Bearing 2000 RPM High Airflow 58.5 CFM 2.05 mmH2O,https://www.amazon.co.uk/AsiaHorse-NyotaUltra-Infinity-Bearing-Airflow/dp/B0FCMNSKG6/ref=zg_bs_g_430499031_d_sccl_24/524-3698123-6031407,2026-09-25 11:38:26.332941,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,74,B0FCMNSKG6,AsiaHorse NyotaUltra Daisy Chain 120mm ARGB PC Case Fan Infinity Mirror HDB Bearing 2000 RPM High Airflow 58.5 CFM 2.05 mmH2O,https://www.amazon.co.uk/AsiaHorse-NyotaUltra-Infinity-Bearing-Airflow/dp/B0FCMNSKG6/ref=zg_bs_g_430499031_d_sccl_24/525-2893768-2677554,2026-09-25 12:57:51.160800,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,75,B0D3TK41VN,"PTM7950 Thermal pad 40x80x0.25mm phase change thermal pad, Aukuoy Highly conductive silicone grease 8.5W/mK CPU thermal paste",https://www.amazon.co.uk/Aukuoy-PTM7950-40x80x0-2mm-conductive-silicone/dp/B0D3TK41VN/ref=zg_bs_g_430499031_d_sccl_25/524-3698123-6031407,2026-09-25 11:38:26.332941,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,75,B0D3TK41VN,"PTM7950 Thermal pad 40x80x0.25mm phase change thermal pad, Aukuoy Highly conductive silicone grease 8.5W/mK CPU thermal paste",https://www.amazon.co.uk/Aukuoy-PTM7950-40x80x0-2mm-conductive-silicone/dp/B0D3TK41VN/ref=zg_bs_g_430499031_d_sccl_25/525-2893768-2677554,2026-09-25 12:57:51.160801,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,76,B0BRQ3DDHW,"Thermalright AXP90-X53 White Low Profile ITX CPU Air Cooler, 53mm Height ITX Cooler with TL-9015W Slin PWM Fan, 2700RPM Speed",https://www.amazon.co.uk/Thermalright-AXP90-X53-Profile-TL-9015W-Technology/dp/B0BRQ3DDHW/ref=zg_bs_g_430499031_d_sccl_26/524-3698123-6031407,2026-09-25 11:38:26.332942,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,76,B0BRQ3DDHW,"Thermalright AXP90-X53 White Low Profile ITX CPU Air Cooler, 53mm Height ITX Cooler with TL-9015W Slin PWM Fan, 2700RPM Speed",https://www.amazon.co.uk/Thermalright-AXP90-X53-Profile-TL-9015W-Technology/dp/B0BRQ3DDHW/ref=zg_bs_g_430499031_d_sccl_26/525-2893768-2677554,2026-09-25 12:57:51.160803,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,77,B0CYQ9B9PY,"Nivithi 2Pcs Black 120mm Fan Grill Metal Finger Guard | Iron 120mm Fan Grill for PC Chassis,The Protector Secures Cables From",https://www.amazon.co.uk/Nivithi-Filter-Cooling-Finger-Computer/dp/B0CYQ9B9PY/ref=zg_bs_g_430499031_d_sccl_27/524-3698123-6031407,2026-09-25 11:38:26.332943,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,77,B0CYQ9B9PY,"Nivithi 2Pcs Black 120mm Fan Grill Metal Finger Guard | Iron 120mm Fan Grill for PC Chassis,The Protector Secures Cables From",https://www.amazon.co.uk/Nivithi-Filter-Cooling-Finger-Computer/dp/B0CYQ9B9PY/ref=zg_bs_g_430499031_d_sccl_27/525-2893768-2677554,2026-09-25 12:57:51.160804,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,78,B0DLWBHM8C,NZXT F420 RGB Core - 420mm Single-Frame RGB Fan Unit - Black | 420mm single-frame unit with three 140mm RGB fans on one cable,https://www.amazon.co.uk/NZXT-F420-RGB-Core-Single-Frame/dp/B0DLWBHM8C/ref=zg_bs_g_430499031_d_sccl_28/524-3698123-6031407,2026-09-25 11:38:26.332943,No exact ASIN listing found in current Amazon marketplace scores,,,,,
