category,rank,asin,title,cpk,price,rrp,rating,review_count,sales_velocity,url,captured_at
case,50,B0DYM1C6LB,"be quiet! Pure Base 501 DX Black PC Case, High Airflow Intake Front Panel And Top Cover, Maximum Performance, 3 Preinstalled",ba0c00d8999872a0,90.98,,4.5,60,,https://www.amazon.co.uk/quiet-Performance-Preinstalled-Extraordinary-Pressure-Black/dp/B0DYM1C6LB/ref=zg_bs_g_430498031_d_sccl_50/522-1500010-1872250,2026-09-25T16:02:01.344454
case,51,B08SRBTYGK,Fractal Design Pop Air Black – Solid – Honeycomb Mesh Front – Solid side panel - Three 120 mm Aspect 12 fans included – ATX H,,82.33,,4.5,103,,https://www.amazon.co.uk/Fractal-Design-Pop-Black-Solid/dp/B08SRBTYGK/ref=zg_bs_g_430498031_d_sccl_1/522-1500010-1872250,2026-09-25T16:02:01.344455
case,52,B0FQV6HM32,Hyte X50 Modern Performance ATX Mid-Tower PC Gaming Case - Taro Milk (Purple),1c790238992e1770,99.0,,4.7,44,,https://www.amazon.co.uk/Hyte-Modern-Performance-Mid-Tower-Gaming-Purple/dp/B0FQV6HM32/ref=zg_bs_g_430498031_d_sccl_2/522-1500010-1872250,2026-09-25T16:02:01.344456
case,53,B0DG5R61P4,"darkFlash ATX Mid-Tower PC Case, Pre-Install 1 PWM Fan Computer Case, Full View Dual Tempered Glass Gaming PC Case, Type C Po",a82b21ec4deef92d,42.99,,4.4,85,,https://www.amazon.co.uk/darkFlash-DS900-without-Tempered-Supports-black/dp/B0DG5R61P4/ref=zg_bs_g_430498031_d_sccl_3/522-1500010-1872250,2026-09-25T16:02:01.344456
case,54,B08HX4PZ4Y,"280x140mm Magnetic PC Fan Dust Filter Cover Mesh, Black (2 Pack) | Ultra-fine PVC mesh computer case grill cover with magneti",,6.99,,4.5,1352,,https://www.amazon.co.uk/280mm-Computer-Filter-Grills-Magnetic/dp/B08HX4PZ4Y/ref=zg_bs_g_430498031_d_sccl_4/522-1500010-1872250,2026-09-25T16:02:01.344457
case,55,B0CV365B3B,"Phanteks XT Pro ATX Mid-Tower PC Case – Black, Tempered Glass Side Panel, High Airflow Mesh Front, E-ATX Support",a3f8f161d4a516dc,59.99,,4.6,263,,https://www.amazon.co.uk/Phanteks-Case-Tempered-Glass-Window-Black/dp/B0CV365B3B/ref=zg_bs_g_430498031_d_sccl_5/522-1500010-1872250,2026-09-25T16:02:01.344458
case,56,B0C6PBY5H3,RLSOCO Mini PC Desktop Case for NiPoGi/BOSGAME/GEEKOM/Beelink (Case Only) | Hard Travel Case for Most Mini PC Computer Deskto,,23.99,,4.8,200,,https://www.amazon.co.uk/RLSOCO-Desktop-Computer-Beelink-MINI-S12/dp/B0C6PBY5H3/ref=zg_bs_g_430498031_d_sccl_6/522-1500010-1872250,2026-09-25T16:02:01.344459
case,57,B0GF9NW38F,"CORSAIR FRAME 4000D WOOD RS Modular Mid-Tower ATX PC Case – Black/Walnut | Wood Front Panel, 4x RS120 PWM Fans Included, Infi",abb4849b56980189,109.99,,4.4,92,,https://www.amazon.co.uk/CORSAIR-FRAME-4000D-Modular-Mid-Tower/dp/B0GF9NW38F/ref=zg_bs_g_430498031_d_sccl_7/522-1500010-1872250,2026-09-25T16:02:01.344459
case,58,B0CK8BTZ1Z,"IONZ KZ-V Mini Aether PC Gaming Case, Mini Tower Micro ATX Tempered Glass includes 3 x 120mm ARGB Fans - Black",,,,3.9,22,,https://www.amazon.co.uk/Aether-Gaming-Tower-Micro-Tempered-Mini-Black-Fans/dp/B0CK8BTZ1Z/ref=zg_bs_g_430498031_d_sccl_8/522-1500010-1872250,2026-09-25T16:02:01.344460
case,59,B0CMZCG8P7,"GeeekPi Raspberry Pi 5 Aluminum Case with Official Active Cooler, Support PCIe M.2 NVMe SSD Shield Top X1001 / X1003 / X1000",,18.99,,4.5,366,,https://www.amazon.co.uk/GeeekPi-Raspberry-Aluminum-Official-Support/dp/B0CMZCG8P7/ref=zg_bs_g_430498031_d_sccl_9/522-1500010-1872250,2026-09-25T16:02:01.344461
