category,list_name,asin,title,url,image_url,rank,cpk,rating,review_count,price,rrp,sales_velocity,captured_at
storage,Internal Solid State Drives,B0CW9S8B24,"Integral V Series S 240GB 2.5"" SATA 3 Internal Solid State Drive SSD - Up to 520MB/s Read and 450MB/s Write Speeds. For Lapto",https://www.amazon.co.uk/Integral-240GB-Internal-Solid-State/dp/B0CW9S8B24/ref=zg_bs_g_430505031_d_sccl_4/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/71BrqInnExL._AC_UL600_SR600,400_.jpg",4,,4.5,102,36.95,,,2026-09-25 11:36:22.600620
storage,Internal Solid State Drives,B0DBR3DZWG,Kingston NV3 NVMe PCIe 4.0 Internal SSD 1TB M.2 2280-SNV3S/1000G,https://www.amazon.co.uk/Kingston-NVMe-Internal-2280-SNV3S-1000G/dp/B0DBR3DZWG/ref=zg_bs_g_430505031_d_sccl_5/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/71c5uuoM1bL._AC_UL600_SR600,400_.jpg",5,,4.4,13940,129.98,,,2026-09-25 11:36:22.600622
storage,Internal Solid State Drives,B0CCN9NHTC,"Crucial BX500 SATA SSD 1TB, 2.5"", Up to 540MB/s, Laptop and Desktop (PC) Compatible, 3D NAND, Dynamic Write Acceleration, Int",https://www.amazon.co.uk/Crucial-BX500-NAND-Internal-CT1000BX500SSD101/dp/B0CCN9NHTC/ref=zg_bs_g_430505031_d_sccl_6/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/51zhuXxYuRL._AC_UL600_SR600,400_.jpg",6,,4.7,156147,149.99,,,2026-09-25 11:36:22.600623
storage,Internal Solid State Drives,B07TNQXQ6N,"Lexar NS100 2.5"" SATA III Internal 256GB SSD | 6Gb/s, Up To 520MB/s Read, For Laptop, Desktop Computer/PC, LNS100-256AMZN",https://www.amazon.co.uk/Lexar-Internal-Desktop-Computer-LNS100-256AMZN/dp/B07TNQXQ6N/ref=zg_bs_g_430505031_d_sccl_7/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/91-FIuGIF0L._AC_UL600_SR600,400_.jpg",7,89a2b6dd67382864,4.6,9329,39.9,,,2026-09-25 11:36:22.600624
storage,Internal Solid State Drives,B0C3ZJ8T6F,"Acer Predator GM7 1TB SSD, M.2 2280 PCIe Gen 4 x4 NVMe 2.0, Read Speed Up to 7200 MB/s, Internal PC Solid State Drive for Lap",https://www.amazon.co.uk/Acer-Predator-GM7000-512GB-2280/dp/B0C3ZJ8T6F/ref=zg_bs_g_430505031_d_sccl_8/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/51qIcFcKe7L._AC_UL600_SR600,400_.jpg",8,,4.8,2589,155.99,,,2026-09-25 11:36:22.600625
storage,Internal Solid State Drives,B0B7CKVCCV,"WD_BLACK SN850X NVMe SSD 1TB (up to 7,300MB/s read speed, up to 6,300MB/s write speed, M.2 2280, PCIe Gen4, Gaming Expansion",https://www.amazon.co.uk/WD_BLACK-SN850X-2280-Gaming-speed/dp/B0B7CKVCCV/ref=zg_bs_g_430505031_d_sccl_9/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/614ZXRwnMnL._AC_UL600_SR600,400_.jpg",9,,4.7,17456,178.99,,,2026-09-25 11:36:22.600627
storage,Internal Solid State Drives,B0BBR9JFNT,"Netac NV3000 1TB SSD 1TB Internal NVMe SSD Solid State Drive M.2 2280mm PCIe3.0 3D NAND with Heat Sink, Up to 3100/2100 MB/s,",https://www.amazon.co.uk/Netac-NV3000-NVMe-2280MM-3100MB/dp/B0BBR9JFNT/ref=zg_bs_g_430505031_d_sccl_10/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/61SSofeVx0L._AC_UL600_SR600,400_.jpg",10,25208371ae63eb89,4.5,700,116.26,,,2026-09-25 11:36:22.600628
storage,Internal Solid State Drives,B0DZ5ZK225,"Crucial P510 1TB SSD NVMe M.2 PCIe 5.0 x4 Gen5, Read/Write Speeds up to 11,000/9,500 MB/s, Laptop & Desktop (PC) Compatible,",https://www.amazon.co.uk/Crucial-Internal-Desktop-Compatible-Backwards/dp/B0DZ5ZK225/ref=zg_bs_g_430505031_d_sccl_11/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/51nDsjHC-GL._AC_UL600_SR600,400_.jpg",11,,4.7,1443,159.99,,,2026-09-25 11:36:22.600630
storage,Internal Solid State Drives,B0DNMDSKDT,"Lexar EQ790 2TB SSD, M.2 2280 PCIe Gen4 NVMe SSD | Up to 7,000MB/s Read, High-Performance Storage Internal Solid State Drive",https://www.amazon.co.uk/Lexar-EQ790-2280-PCIe-Gen4/dp/B0DNMDSKDT/ref=zg_bs_g_430505031_d_sccl_12/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/61OQ6pbX5NL._AC_UL600_SR600,400_.jpg",12,72ffbec5edc79401,4.6,1726,229.99,,,2026-09-25 11:36:22.600631
storage,Internal Solid State Drives,B0C47ZX1WB,"WD BLACK SN850P 2TB PS5 SSD (Officially Licensed for PlayStation 5, Read Speeds Up to 7300 MB/s, M.2 2280 PCIe NVMe, Exclusiv",https://www.amazon.co.uk/Officially-Licensed-PlayStation-Exclusive-Heatsink/dp/B0C47ZX1WB/ref=zg_bs_g_430505031_d_sccl_13/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/71m4ODJ7+DL._AC_UL600_SR600,400_.jpg",13,,4.7,11349,309.99,,,2026-09-25 11:36:22.600632
storage,Internal Solid State Drives,B0B55SWRCY,"fanxiang M.2 SSD 256GB NVMe SSD PCIe Gen3x4 2280 Up To 3200MB/s | with Cooling Sticker, 3D NAND TLC with SLC Cache, Internal",https://www.amazon.co.uk/fanxiang-S500-Pro-Internal-Compatible/dp/B0B55SWRCY/ref=zg_bs_g_430505031_d_sccl_14/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/61zv9Ct-AEL._AC_UL600_SR600,400_.jpg",14,fb629ff1b162765f,4.5,6299,45.9,,,2026-09-25 11:36:22.600634
storage,Internal Solid State Drives,B0CNSV1M47,"fanxiang 512GB NVMe M.2 2280 SSD, Up to 3000MB/s, PCIe Gen3 x4 | Graphite Cooling Sticker, Internal Solid State Drives, Deskt",https://www.amazon.co.uk/fanxiang-Graphene-Cooling-Sticker-Internal/dp/B0CNSV1M47/ref=zg_bs_g_430505031_d_sccl_15/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/617a5ipor-L._AC_UL600_SR600,400_.jpg",15,,4.3,1056,69.99,,,2026-09-25 11:36:22.600635
storage,Internal Solid State Drives,B0CM63ZP2Y,"fanxiang 512GB 2.5"" SATA III SSD, Up to 550MB/s, SATA 6Gb/s | 2.5-Inch Form Factor, SATA 6Gb/s Interface, Internal Solid Stat",https://www.amazon.co.uk/fanxiang-512GB-Internal-Drives-Desktops-S101Q/dp/B0CM63ZP2Y/ref=zg_bs_g_430505031_d_sccl_16/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/61WmYCclczL._AC_UL600_SR600,400_.jpg",16,fc68ed21e48ad82e,4.3,5177,58.99,,,2026-09-25 11:36:22.600636
storage,Internal Solid State Drives,B0FGP7W3NJ,"SIX NVME M.2 SSD PCIe 4.0-1TB m.2 2280 ssd, Read UP to 7350MB/s 1TB for Gaming PS5 Memory Storage Expansion with Heatsink, In",https://www.amazon.co.uk/SIX-SSD-Expansion-Heatsink-Internal/dp/B0FGP7W3NJ/ref=zg_bs_g_430505031_d_sccl_17/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/71gk6okbBcL._AC_UL600_SR600,400_.jpg",17,,4.4,696,142.99,,,2026-09-25 11:36:22.600638
storage,Internal Solid State Drives,B08PC43D78,"Samsung SSD 870 EVO, 500 GB, Form Factor 2.5 Inch, Intelligent Turbo Write, Magician 6 Software",https://www.amazon.co.uk/Samsung-Factor-Intelligent-Magician-Software/dp/B08PC43D78/ref=zg_bs_g_430505031_d_sccl_18/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/61rKP069UhL._AC_UL600_SR600,400_.jpg",18,875d07f1679ee906,4.7,44273,155.0,,,2026-09-25 11:36:22.600639
storage,Internal Solid State Drives,B0GFVHHYLY,"Lexar ARES 512GB SSD, M.2 2280 PCIe Gen4 NVMe SSD | Up to 7,200MB/s Read, Internal Solid State Drive for PS5, PC, Laptop, Gam",https://www.amazon.co.uk/Lexar-Gen4x4-Internal-Creators-Professionals/dp/B0GFVHHYLY/ref=zg_bs_g_430505031_d_sccl_19/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/51NvEYaWZLL._AC_UL600_SR600,400_.jpg",19,,4.7,361,84.99,,,2026-09-25 11:36:22.600640
storage,Internal Solid State Drives,B09P58BJ2L,Integral SSD 256GB NVME M.2 2280 PCIe Gen3x4 R-3350MB/s W-1350MB/s M2 Solid State Drive,https://www.amazon.co.uk/Integral-256GB-Gen3x4-R-3350MB-W-1350MB/dp/B09P58BJ2L/ref=zg_bs_g_430505031_d_sccl_20/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/71uRTu1ocKL._AC_UL600_SR600,400_.jpg",20,17b8d67d0d4b07dd,4.6,435,54.95,,,2026-09-25 11:36:22.600642
storage,Internal Solid State Drives,B0DC6KDV6R,"Lexar NM790 4TB SSD, M.2 2280 PCIe Gen4 NVMe SSD | Up to 7,400MB/s Read, Up to 6,500MB/s Write, Internal Solid State Drive fo",https://www.amazon.co.uk/Lexar-NM790-Gen4x4-Internal-Professionals/dp/B0DC6KDV6R/ref=zg_bs_g_430505031_d_sccl_21/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/61Q4zdzkh4L._AC_UL600_SR600,400_.jpg",21,1e0d6f3e624410ad,4.7,756,439.99,,,2026-09-25 11:36:22.600643
storage,Internal Solid State Drives,B09XHPHKPJ,"fanxiang SATA SSD 128GB Internal SSD 2.5"" SATA III, Up to 500MB/s | 3D NAND TLC with SLC Cache, Internal SSD for laptops and",https://www.amazon.co.uk/Fanxiang-S101-Internal-Compatible-Desktops/dp/B09XHPHKPJ/ref=zg_bs_g_430505031_d_sccl_22/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/61+1a-CcA7L._AC_UL600_SR600,400_.jpg",22,071eb7ca840b580c,4.5,23391,23.99,,,2026-09-25 11:36:22.600644
storage,Internal Solid State Drives,B0BFRDY79K,"Lexar NM610PRO SSD, M.2 2280 PCIe Gen3x4 NVMe 1.4 SSD 1TB Internal, Up to 3300MB/s Reading, 2600MB/s Write, 3D NAND Flash Dri",https://www.amazon.co.uk/Lexar-NM610PRO-Internal-Gen3x4-Reading/dp/B0BFRDY79K/ref=zg_bs_g_430505031_d_sccl_23/524-3698123-6031407,"https://images-eu.ssl-images-amazon.com/images/I/51BPqCU2E1L._AC_UL600_SR600,400_.jpg",23,822bf0001e63554a,4.6,1866,124.99,,,2026-09-25 11:36:22.600645
